year,month,price,notes
1835,1,7,
1835,2,7.25,
1835,3,7.5,
1835,4,8.75,
1835,5,8.75,
1835,6,9.5,
1835,7,9.25,
1835,8,9.75,
1835,9,9,
1835,10,9.5,
1835,11,9.75,
1835,12,9.75,
1836,1,8.5,
1836,2,10,
1836,3,9.24,
1836,4,7.75,
1836,5,7,
1836,6,7,
1836,7,7.5,
1836,8,7.5,
1836,9,7.5,
1836,10,8.25,
1836,11,8.25,
1836,12,9.5,
1837,1,7.5,
1837,2,9.75,
1837,3,8.75,
1837,4,11.5,
1837,5,11,
1837,6,13,
1837,7,18,
1837,8,19.75,
1837,9,21,
1837,10,14,
1837,11,16,
1837,12,14,
1838,1,9.5,
1838,2,9,
1838,3,7.5,
1838,4,4.75,
1838,5,6.75,
1838,6,8,
1838,7,8.25,
1838,8,7.25,
1838,9,9.25,
1838,10,9.875,
1838,11,9.5,
1838,12,10,
1839,1,9.5,
1839,2,9,
1839,3,8.75,
1839,4,9.5,
1839,5,8.75,
1839,6,9.125,
1839,7,9.5,
1839,8,9.5,
1839,9,9,
1839,10,10,
1839,11,9,
1839,12,9,
1840,1,8,
1840,2,8.5,
1840,3,8,
1840,4,7.75,
1840,5,8,
1840,6,7.5,
1840,7,7,
1840,8,7,
1840,9,7,
1840,10,8.5,
1840,11,8.75,
1840,12,8.75,
1841,1,8.5,
1841,2,8,
1841,3,8,
1841,4,7,
1841,5,7.5,
1841,6,8.25,
1841,7,8.5,
1841,8,8.5,
1841,9,9,
1841,10,9.75,
1841,11,10,
1841,12,9.25,
1842,1,8.75,
1842,2,8.5,
1842,3,8.25,
1842,4,6.5,
1842,5,7.25,
1842,6,8,
1842,7,7.25,
1842,8,6.5,
1842,9,7.375,
1842,10,8.5,
1842,11,6.5,
1842,12,6.5,
1843,1,5.5,
1843,2,5.375,
1843,3,6,
1843,4,5.75,
1843,5,7.25,
1843,6,8.5,
1843,7,8.75,
1843,8,9.5,
1843,9,9.5,
1843,10,9.5,
1843,11,8.5,
1843,12,8.5,
1844,1,8.5,
1844,2,8.5,
1844,3,9,
1844,4,8.5,
1844,5,8,
1844,6,8.75,
1844,7,9.5,
1844,8,9.5,
1844,9,9.5,
1844,10,10,
1844,11,10,
1844,12,10,
1845,1,10,
1845,2,10,
1845,3,9.75,
1845,4,9.75,
1845,5,9.5,
1845,6,9.75,
1845,7,10,
1845,8,10,
1845,9,9.75,
1845,10,9.75,
1845,11,9.25,
1845,12,8.75,
1846,1,8.5,
1846,2,8.5,
1846,3,8.5,
1846,4,10,
1846,5,10,
1846,6,9.25,
1846,7,8.75,
1846,8,8,
1846,9,9.75,
1846,10,9.25,
1846,11,6,
1846,12,6.75,
1847,1,5.5,
1847,2,6.5,
1847,3,5.75,
1847,4,4.5,
1847,5,6.5,
1847,6,7.5,
1847,7,6.5,
1847,8,6.75,
1847,9,6.5,
1847,10,9,
1847,11,10,
1847,12,10.5,
1848,1,10.5,
1848,2,10.5,
1848,3,10,
1848,4,10,
1848,5,10.5,
1848,6,10.5,
1848,7,10,
1848,8,9.5,
1848,9,9.25,
1848,10,9,
1848,11,8.75,
1848,12,8.75,
1849,1,9,
1849,2,8.75,
1849,3,8,
1849,4,6.5,
1849,5,8.5,
1849,6,9.5,
1849,7,9.25,
1849,8,9,
1849,9,10,
1849,10,10,
1849,11,10.5,
1849,12,9,
1850,1,8.25,
1850,2,9,
1850,3,8.75,
1850,4,8.75,
1850,5,9.25,
1850,6,10,
1850,7,10.5,
1850,8,10.5,
1850,9,10.5,
1850,10,10.5,
1850,11,10.75,
1850,12,9.75,
1851,1,10.75,
1851,2,9.75,
1851,3,10.5,
1851,4,10.375,
1851,5,10.375,
1851,6,10.375,
1851,7,10.5,
1851,8,10.375,
1851,9,10.25,
1851,10,10.375,
1851,11,10.25,
1851,12,10.5,
1852,1,10.25,
1852,2,10.125,
1852,3,10.25,
1852,4,9.75,
1852,5,9,
1852,6,10.125,
1852,7,10.25,
1852,8,10.25,
1852,9,10.375,
1852,10,10.375,
1852,11,9.5,
1852,12,10,
1853,1,9.375,
1853,2,9.25,
1853,3,10.5,
1853,4,9.5,
1853,5,9.75,
1853,6,9.75,
1853,7,9.375,
1853,8,9.375,
1853,9,9.25,
1853,10,9.25,
1853,11,9.75,
1853,12,9.5,
1854,1,9.25,
1854,2,9.5,
1854,3,8.75,
1854,4,8.75,
1854,5,9.25,
1854,6,9.25,
1854,7,9.5,
1854,8,9.25,
1854,9,9.75,
1854,10,9.875,
1854,11,9.75,
1854,12,9.25,
1855,1,7.5,
1855,2,9,
1855,3,9.375,
1855,4,9.5,
1855,5,10,
1855,6,10,
1855,7,9.75,
1855,8,9.75,
1855,9,9.75,
1855,10,9.25,
1855,11,8.5,
1855,12,8.25,
1856,1,8.5,
1856,2,8.5,
1856,3,9.125,
1856,4,9.375,
1856,5,9.75,
1856,6,9.75,
1856,7,10,
1856,8,9.75,
1856,9,9.25,
1856,10,9.5,
1856,11,9.25,
1856,12,9,
1857,1,8.5,
1857,2,8.75,
1857,3,8.25,
1857,4,8.5,
1857,5,9.25,
1857,6,9.5,
1857,7,9.25,
1857,8,9.5,
1857,9,9,
1857,10,99,"Good produce bills sold during the panic of OCtober, 1857, at 90"
1857,11,7.5,
1857,12,9.25,
1858,1,9.5,
1858,2,9.25,
1858,3,9,
1858,4,9,"March 20, 1858, sales at 107."
1858,5,9.5,
1858,6,9.75,
1858,7,9.25,
1858,8,9.375,
1858,9,9.875,
1858,10,10,
1858,11,9.75,
1858,12,9.25,
1859,1,9.375,
1859,2,9.5,
1859,3,9.375,
1859,4,9.75,
1859,5,10.125,
1859,6,10,
1859,7,10.25,
1859,8,10.375,
1859,9,9.875,
1859,10,10.125,
1859,11,10,
1859,12,9.875,
1860,1,9.75,
1860,2,8.75,
1860,3,9,
1860,4,9,
1860,5,9.375,
1860,6,9.625,
1860,7,9.875,
1860,8,10,
1860,9,9.875,
1860,10,9.5,
1860,11,8.325,
1860,12,4,
1861,1,8.5,
1861,2,6,
1861,3,5.5,
1861,4,8.5,
1861,5,5,
1861,6,5.75,
1861,7,6.25,
1861,8,7.5,
1861,9,7.25,
1861,10,7.25,
1861,11,7.25,
1861,12,9,
