date,strdate,url,issue,
1/1/1860,January 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C845%2C795%2C51&edge=0,Jul 1860,
1/15/1860,January 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C845%2C795%2C51&edge=0,Jul 1860,
2/1/1860,February 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C888%2C795%2C50&edge=0,Jul 1860,
2/15/1860,February 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=79%2C888%2C795%2C50&edge=0,Jul 1860,
3/1/1860,March 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=72%2C925%2C806%2C53&edge=0,Jul 1860,
3/15/1860,March 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=72%2C925%2C806%2C53&edge=0,Jul 1860,
4/1/1860,April 1,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=70%2C966%2C802%2C59&edge=0,Jul 1860,
4/15/1860,April 15,http://books.google.com/books?id=06YRAAAAYAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U1MM6iQ-RR_wKCXb8oR4HX08GvACg&ci=70%2C966%2C802%2C59&edge=0,Jul 1860,
5/1/1860,May 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=79%2C142%2C796%2C55&edge=0,Jan 1861,
5/15/1860,May 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=79%2C142%2C796%2C55&edge=0,Jan 1861,
6/1/1860,June 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=81%2C182%2C785%2C50&edge=0,Jan 1861,
6/15/1860,June 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=81%2C182%2C785%2C50&edge=0,Jan 1861,
7/1/1860,July 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C225%2C787%2C50&edge=0,Jan 1861,
7/15/1860,July 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C225%2C787%2C50&edge=0,Jan 1861,
8/1/1860,August 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C269%2C794%2C50&edge=0,Jan 1861,
8/15/1860,August 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=82%2C269%2C794%2C50&edge=0,Jan 1861,
9/1/1860,September 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=81%2C304%2C787%2C58&edge=0,Jan 1861,
9/15/1860,September 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=81%2C304%2C787%2C58&edge=0,Jan 1861,
10/1/1860,October 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=91%2C351%2C785%2C58&edge=0,Jan 1861,
10/15/1860,October 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=91%2C351%2C785%2C58&edge=0,Jan 1861,
11/1/1860,November 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=78%2C390%2C790%2C60&edge=0,Jan 1861,
11/15/1860,November 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA79&img=1&zoom=3&hl=en&sig=ACfU3U2_Al3gCtS_wyD23vHm6eAkSPcVbg&ci=78%2C390%2C790%2C60&edge=0,Jan 1861,
12/1/1860,December 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
12/15/1860,December 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
1/1/1861,January 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
2/1/1861,February 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
2/15/1861,February 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
3/1/1861,March 1,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
3/15/1861,March 15,http://books.google.com/books?id=QKcRAAAAYAAJ&pg=PA416&img=1&zoom=3&hl=en&sig=ACfU3U1rU5sXXfujpiazkRxoQeTtNCIs3A&ci=123%2C436%2C801%2C216&edge=0,Apr 1861,
12/1/1861,December 1,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
12/15/1861,December 15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
1/1/1862,January 1,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
1/15/1862,January 15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
2/1/1862,February 1,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
2/15/1862,February 15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
3/1/1862,March 1,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
3/15/1862,March 15,http://books.google.com/books?id=iFxJAAAAMAAJ&pg=PA407&img=1&zoom=3&hl=en&sig=ACfU3U358bc9n0EYVRUNFvlwQgdIDXdEHg&ci=108%2C926%2C806%2C217&edge=0,April 1862,
3/22/1862,March 22,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=109%2C472%2C777%2C86&edge=0,July 1862,no headers
3/29/1862,March 29,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=109%2C472%2C777%2C86&edge=0,July 1862,
4/5/1862,April 5,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=104%2C553%2C779%2C86&edge=0,July 1862,
4/12/1862,April 12,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=104%2C553%2C779%2C86&edge=0,July 1862,
4/19/1862,April 19,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=104%2C553%2C779%2C86&edge=0,July 1862,
4/26/1862,April 26,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=104%2C553%2C779%2C86&edge=0,July 1862,
5/2/1862,May 2,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=101%2C641%2C776%2C105&edge=0,July 1862,
5/10/1862,May 10,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=101%2C641%2C776%2C105&edge=0,July 1862,
5/17/1862,May 17,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=101%2C641%2C776%2C105&edge=0,July 1862,
5/31/1862,May 31,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=101%2C641%2C776%2C105&edge=0,July 1862,
6/7/1862,June 7,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=110%2C744%2C767%2C69&edge=0,July 1862,
6/14/1862,June 14,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=110%2C744%2C767%2C69&edge=0,July 1862,
6/26/1862,June 26,http://books.google.com/books?id=u11JAAAAMAAJ&pg=PA33&img=1&zoom=3&hl=en&sig=ACfU3U16X2vBuuy6h_4w7gpolnr4KULBtQ&ci=110%2C744%2C767%2C69&edge=0,July 1862,
7/5/1862,July 5,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=90%2C636%2C802%2C90&edge=0,Jan 1863,
7/12/1862,July 12,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=90%2C636%2C802%2C90&edge=0,Jan 1863,
7/19/1862,July 19,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=90%2C636%2C802%2C90&edge=0,Jan 1863,
7/27/1862,July 27,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=90%2C636%2C802%2C90&edge=0,Jan 1863,
8/2/1862,August 2,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C724%2C804%2C106&edge=0,Jan 1863,
8/9/1862,August 9,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C724%2C804%2C106&edge=0,Jan 1863,
8/16/1862,August 16,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C724%2C804%2C106&edge=0,Jan 1863,
8/23/1862,August 23,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C724%2C804%2C106&edge=0,Jan 1863,
8/30/1862,August 30,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C724%2C804%2C106&edge=0,Jan 1863,
9/6/1862,September 6,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=91%2C832%2C812%2C85&edge=0,Jan 1863,
9/13/1862,September 13,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=91%2C832%2C812%2C85&edge=0,Jan 1863,
9/20/1862,September 20,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=91%2C832%2C812%2C85&edge=0,Jan 1863,
9/27/1862,September 27,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=91%2C832%2C812%2C85&edge=0,Jan 1863,
10/4/1862,October 4,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=92%2C919%2C807%2C82&edge=0,Jan 1863,
10/11/1862,October 11,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=92%2C919%2C807%2C82&edge=0,Jan 1863,
10/18/1862,October 18,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=92%2C919%2C807%2C82&edge=0,Jan 1863,
10/25/1862,October 25,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=92%2C919%2C807%2C82&edge=0,Jan 1863,
11/1/1862,November 1,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C1000%2C790%2C112&edge=0,Jan 1863,
11/8/1862,November 8,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C1000%2C790%2C112&edge=0,Jan 1863,
11/15/1862,November 15,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C1000%2C790%2C112&edge=0,Jan 1863,
11/23/1862,November 23,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C1000%2C790%2C112&edge=0,Jan 1863,
11/30/1862,November 30,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=93%2C1000%2C790%2C112&edge=0,Jan 1863,
12/6/1862,December 6,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=85%2C1104%2C810%2C96&edge=0,Jan 1863,
12/13/1862,December 13,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=85%2C1104%2C810%2C96&edge=0,Jan 1863,
12/20/1862,December 20,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=85%2C1104%2C810%2C96&edge=0,Jan 1863,
12/27/1862,December 27,http://books.google.com/books?id=H15JAAAAMAAJ&pg=PA73&img=1&zoom=3&hl=en&sig=ACfU3U3wNtgICyTNcUz64v44P7MzmlPv7w&ci=85%2C1104%2C810%2C96&edge=0,Jan 1863,
1/3/1863,January 3,http://books.google.com/books?id=v15JAAAAMAAJ&pg=PA31&img=1&zoom=3&hl=en&sig=ACfU3U1ZLjQ7SioWnxndnL-SbyeAs06DEQ&ci=138%2C198%2C761%2C118&edge=0,Jan 1864,
